J2000_NAME,DEC_deg,RA_deg
J0000+0248,2.804080724583333,0.0803435284583333
J0000+3918,39.30115229444444,0.1730317166666666
J0000+4054,40.90050268105556,0.2211710966666666
J0001+0701,7.023209166666667,0.4311149999999999
J0001+2358,23.96964174722222,0.3119355208333333
J0001+4440,44.674226688888886,0.3391052541666666
J0001+4742,47.700200725,0.3293412624999999
J0001+6051,60.85633280208334,0.2795825644583333
J0001-0656,-6.940258394444444,0.3566126916666666
J0001-0746,-7.7741449765,0.3251038378749999
J0001-1326,-13.442539911111112,0.3585428
J0002+1605,16.09572611111111,0.6674745833333332
J0002+5510,55.17746706944444,0.5022054125
J0002+7459,74.99642638888889,0.6297149999999999
J0002-2114,-21.23891833333333,0.7073624999999999
J0002-2153,-21.886073762777777,0.5499226089166666
J0003+0214,2.249300992055556,0.812345213
J0003+0717,7.287184166666666,0.8468391666666666
J0003+0841,8.693940555555557,0.9967920833333334
J0003+1605,16.096655833333333,0.9420654166666664
J0003+1837,18.633058183333333,0.7548347124999999
J0003+2459,24.99399388888889,0.8179675
J0003+4807,48.117815351694446,0.9418399126666668
J0003+6307,63.13218645555556,0.9021314
J0003-0626,-6.449885638888889,0.7576320333333333
J0003-1941,-19.697333834694444,0.8164558497083333
J0004+2637,26.631222425,1.0990685041666666
J0004+3617,36.28900188888889,1.0175511499999998
J0004-1148,-11.81621839238889,1.0204791709583332
J0005+6923,69.39973770833333,1.3769593916666665
J0005-0530,-5.502581733333333,1.4252963249999997
J0005-3445,-34.763793371944445,1.2746879104999995
J0006+4135,41.58651575833333,1.722136041666667
J0006+4822,48.37714033055556,1.5400935291666666
J0007+0226,2.4422914807222225,1.9326676272916663
J0007+1745,17.759602222222224,1.82864125
J0007+4008,40.14164916666667,1.9236104166666663
J0007+4712,47.20215805555556,1.9998887499999995
J0007+5706,57.10289976133333,1.9519525984583328
J0008+1144,11.73354856461111,2.0034927646666665
J0008+1456,14.943275277777778,2.1058325
J0008+3837,38.619525,2.0952329166666663
J0008-1329,-13.491825908333333,2.1167374708333333
J0008-2559,-25.986539182694447,2.10938541675
J0008-3601,-36.02362039552778,2.140254851083333
J0009+0507,5.123616111111111,2.350707083333333
J0009+1742,17.70235642222222,2.465176158333333
J0009+5030,50.50801055555556,2.34483375
J0009+7724,77.41166790125,2.4295499705
J0010+2619,26.32159430277778,2.6508967416666662
J0010+2838,28.636595555555555,2.546097916666666
J0010+4412,44.21180685441667,2.6251935865
J0010-0020,-0.335172325,2.7187512416666664
J0010-0433,-4.563474047944444,2.5016194822916664
J0010-0740,-7.670013041666666,2.710840254166666
J0010-2157,-21.95117230002778,2.723541610375
